"Date","Cats","Adults","Babies","P_Labor","P_LaborPriorDate","P_LaborAfterDate"
2017-08-02,2,2,0,0,0,1
2017-08-03,2,2,0,0,0,1
2017-08-04,2,2,0,0,0,1
2017-08-05,2,2,0,0,0,1
2017-08-06,2,2,0,0,0,1
2017-08-07,2,2,0,0,0,1
2017-08-08,2,2,0,0,0,1
2017-08-09,2,2,0,0,0,1
2017-08-10,2,2,0,0,0,1
2017-08-11,2,2,0,0,0,1
2017-08-12,2,2,0,0,0,1
2017-08-13,2,2,0,0,0,1
2017-08-14,2,2,0,0,0,1
2017-08-15,2,2,0,0,0,1
2017-08-16,2,2,0,0,0,1
2017-08-17,2,2,0,0,0,1
2017-08-18,2,2,0,0,0,1
2017-08-19,2,2,0,0,0,1
2017-08-20,2,2,0,0,0,1
2017-08-21,2,2,0,0,0,1
2017-08-22,2,2,0,0,0,1
2017-08-23,2,2,0,0,0,1
2017-08-24,2,2,0,0,0,1
2017-08-25,2,2,0,0,0,1
2017-08-26,2,2,0,0,0,1
2017-08-27,2,2,0,0,0,1
2017-08-28,2,2,0,0,0,1
2017-08-29,2,2,0,0,0,1
2017-08-30,2,2,0,0,0,1
2017-08-31,2,2,0,0,0,1
2017-09-01,2,2,0,0,0,1
2017-09-02,2,2,0,0,0,1
2017-09-03,2,2,0,0,0,1
2017-09-04,2,2,0,0,0,1
2017-09-05,2,2,0,0,0,1
2017-09-06,2,2,0,0,0,1
2017-09-07,2,2,0,0,0,1
2017-09-08,2,2,0,0,0,1
2017-09-09,2,2,0,0,0,1
2017-09-10,2,2,0,0,0,1
2017-09-11,2,2,0,0,0,1
2017-09-12,2,2,0,0,0,1
2017-09-13,2,2,0,0,0,1
2017-09-14,2,2,0,0,0,1
2017-09-15,2,2,0,0,0,1
2017-09-16,2,2,0,0,0,1
2017-09-17,2,2,0,0,0,1
2017-09-18,2,2,0,0,0,1
2017-09-19,2,2,0,0,0,1
2017-09-20,2,2,0,0,0,1
2017-09-21,2,2,0,0,0,1
2017-09-22,2,2,0,0,0,1
2017-09-23,2,2,0,0,0,1
2017-09-24,2,2,0,0,0,1
2017-09-25,2,2,0,0,0,1
2017-09-26,2,2,0,0,0,1
2017-09-27,2,2,0,0,0,1
2017-09-28,2,2,0,0,0,1
2017-09-29,2,2,0,0,0,1
2017-09-30,2,2,0,0,0,1
2017-10-01,2,2,0,0,0,1
2017-10-02,2,2,0,0,0,1
2017-10-03,2,2,0,0,0,1
2017-10-04,2,2,0,0,0,1
2017-10-05,2,2,0,0,0,1
2017-10-06,2,2,0,0,0,1
2017-10-07,2,2,0,0,0,1
2017-10-08,2,2,0,0,0,1
2017-10-09,2,2,0,0,0,1
2017-10-10,2,2,0,0,0,1
2017-10-11,2,2,0,0,0,1
2017-10-12,2,2,0,0,0,1
2017-10-13,2,2,0,0,0,1
2017-10-14,2,2,0,0,0,1
2017-10-15,2,2,0,0,0,1
2017-10-16,2,2,0,0,0,1
2017-10-17,2,2,0,0,0,1
2017-10-18,2,2,0,0,0,1
2017-10-19,2,2,0,0,0,1
2017-10-20,2,2,0,0,0,1
2017-10-21,2,2,0,0,0,1
2017-10-22,2,2,0,0,0,1
2017-10-23,2,2,0,0,0,1
2017-10-24,2,2,0,0,0,1
2017-10-25,2,2,0,0,0,1
2017-10-26,2,2,0,0,0,1
2017-10-27,2,2,0,0,0,1
2017-10-28,2,2,0,0,0,1
2017-10-29,2,2,0,0,0,1
2017-10-30,2,2,0,0,0,1
2017-10-31,2,2,0,0,0,1
2017-11-01,2,2,0,0,0,1
2017-11-02,2,2,0,0,0,1
2017-11-03,2,2,0,0,0,1
2017-11-04,2,2,0,0,0,1
2017-11-05,2,2,0,0,0,1
2017-11-06,2,2,0,0,0,1
2017-11-07,2,2,0,0,0,1
2017-11-08,2,2,0,0,0,1
2017-11-09,2,2,0,0,0,1
2017-11-10,2,2,0,0,0,1
2017-11-11,2,2,0,0,0,1
2017-11-12,2,2,0,0,0,1
2017-11-13,2,2,0,0,0,1
2017-11-14,2,2,0,0,0,1
2017-11-15,2,2,0,0,0,1
2017-11-16,2,2,0,0,0,1
2017-11-17,2,2,0,0,0,1
2017-11-18,2,2,0,0,0,1
2017-11-19,2,2,0,0,0,1
2017-11-20,2,2,0,0,0,1
2017-11-21,2,2,0,0,0,1
2017-11-22,2,2,0,0,0,1
2017-11-23,2,2,0,0,0,1
2017-11-24,2,2,0,0,0,1
2017-11-25,2,2,0,0,0,1
2017-11-26,2,2,0,0,0,1
2017-11-27,2,2,0,0,0,1
2017-11-28,2,2,0,0,0,1
2017-11-29,2,2,0,0,0,1
2017-11-30,2,2,0,0,0,1
2017-12-01,2,2,0,0,0,1
2017-12-02,2,2,0,0,0,1
2017-12-03,2,2,0,0,0,1
2017-12-04,2,2,0,0,0,1
2017-12-05,2,2,0,0,0,1
2017-12-06,2,2,0,0,0,1
2017-12-07,2,2,0,0,0,1
2017-12-08,2,2,0,0,0,1
2017-12-09,2,2,0,0,0,1
2017-12-10,2,2,0,0,0,1
2017-12-11,2,2,0,0,0,1
2017-12-12,2,2,0,0,0,1
2017-12-13,2,2,0,0,0,1
2017-12-14,2,2,0,0,0,1
2017-12-15,2,2,0,0,0,1
2017-12-16,2,2,0,0,0,1
2017-12-17,2,2,0,0,0,1
2017-12-18,2,2,0,0,0,1
2017-12-19,2,2,0,0,0,1
2017-12-20,2,2,0,0,0,1
2017-12-21,2,2,0,0,0,1
2017-12-22,2,2,0,0,0,1
2017-12-23,2,2,0,0,0,1
2017-12-24,2,2,0,0,0,1
2017-12-25,2,2,0,0,0,1
2017-12-26,2,2,0,0,0,1
2017-12-27,2,2,0,0,0,1
2017-12-28,2,2,0,0,0,1
2017-12-29,2,2,0,0,0,1
2017-12-30,2,2,0,0,0,1
2017-12-31,2,2,0,0,0,1
2018-01-01,2,2,0,0,0,1
2018-01-02,2,2,0,0,0,1
2018-01-03,2,2,0,0,0,1
2018-01-04,2,2,0,0,0,1
2018-01-05,2,2,0,0,0,1
2018-01-06,2,2,0,0,0,1
2018-01-07,2,2,0,0,0,1
2018-01-08,2,2,0,0,0,1
2018-01-09,2,2,0,0,0,1
2018-01-10,2,2,0,0,0,1
2018-01-11,2,2,0,0,0,1
2018-01-12,2,2,0,0,0,1
2018-01-13,2,2,0,0,0,1
2018-01-14,2,2,0,0,0,1
2018-01-15,2,2,0,0,0,1
2018-01-16,2,2,0,0,0,1
2018-01-17,2,2,0,0,0,1
2018-01-18,2,2,0,0,0,1
2018-01-19,2,2,0,0,0,1
2018-01-20,2,2,0,0,0,1
2018-01-21,2,2,0,0,0,1
2018-01-22,2,2,0,0,0,1
2018-01-23,2,2,0,0,0,1
2018-01-24,2,2,0,0,0,1
2018-01-25,2,2,0,0,0,1
2018-01-26,2,2,0,0,0,1
2018-01-27,2,2,0,0,0,1
2018-01-28,2,2,0,0,0,1
2018-01-29,2,2,0,0,0,1
2018-01-30,2,2,0,0,0,1
2018-01-31,2,2,0,0,0,1
2018-02-01,2,2,0,0,0,1
2018-02-02,2,2,0,0,0,1
2018-02-03,2,2,0,0,0,1
2018-02-04,2,2,0,0,0,1
2018-02-05,2,2,0,0,0,1
2018-02-06,2,2,0,0,0,1
2018-02-07,2,2,0,0,0,1
2018-02-08,2,2,0,0,0,1
2018-02-09,2,2,0,0,0,1
2018-02-10,2,2,0,0,0,1
2018-02-11,2,2,0,0,0,1
2018-02-12,2,2,0,0,0,1
2018-02-13,2,2,0,0,0,1
2018-02-14,2,2,0,0,0,1
2018-02-15,2,2,0,0,0,1
2018-02-16,2,2,0,0,0,1
2018-02-17,2,2,0,0,0,1
2018-02-18,2,2,0,0,0,1
2018-02-19,2,2,0,0,0,1
2018-02-20,2,2,0,0,0,1
2018-02-21,2,2,0,0,0,1
2018-02-22,2,2,0,0,0,1
2018-02-23,2,2,0,0,0,1
2018-02-24,2,2,0,0,0,1
2018-02-25,2,2,0,0,0,1
2018-02-26,2,2,0,0,0,1
2018-02-27,2,2,0,0,0,1
2018-02-28,2,2,0,0,0,1
2018-03-01,2,2,0,0,0,1
2018-03-02,2,2,0,0,0,1
2018-03-03,2,2,0,0,0,1
2018-03-04,2,2,0,0,0,1
2018-03-05,2,2,0,0,0,1
2018-03-06,2,2,0,0,0,1
2018-03-07,2,2,0,0,0,1
2018-03-08,2,2,0,0,0,1
2018-03-09,2,2,0,0,0,1
2018-03-10,2,2,0,0,0,1
2018-03-11,2,2,0,0,0,1
2018-03-12,2,2,0,0,0,1
2018-03-13,2,2,0,0,0,1
2018-03-14,2,2,0,0,0,1
2018-03-15,2,2,0,0,0,1
2018-03-16,2,2,0,0,0,1
2018-03-17,2,2,0,0,0,1
2018-03-18,2,2,0,0,0,1
2018-03-19,2,2,0,0,0,1
2018-03-20,2,2,0,0,0,1
2018-03-21,2,2,0,0,0,1
2018-03-22,2,2,0,0,0,1
2018-03-23,2,2,0,0,0,1
2018-03-24,2,2,0,0,0.01,0.99
2018-03-25,2,2,0,0,0.01,0.99
2018-03-26,2,2,0,0,0.01,0.99
2018-03-27,2,2,0,0,0.01,0.99
2018-03-28,2,2,0,0,0.01,0.99
2018-03-29,2,2,0,0,0.01,0.99
2018-03-30,2,2,0,0,0.01,0.99
2018-03-31,2,2,0,0,0.01,0.99
2018-04-01,2,2,0,0,0.02,0.98
2018-04-02,2,2,0,0,0.02,0.98
2018-04-03,2,2,0,0,0.02,0.98
2018-04-04,2,2,0,0,0.02,0.98
2018-04-05,2,2,0,0,0.03,0.97
2018-04-06,2,2,0,0,0.03,0.97
2018-04-07,2,2,0,0,0.03,0.96
2018-04-08,2,2,0,0,0.04,0.96
2018-04-09,2,2,0,0,0.04,0.96
2018-04-10,2,2,0,0.01,0.05,0.95
2018-04-11,2,2,0,0.01,0.05,0.94
2018-04-12,2,2,0,0.01,0.06,0.94
2018-04-13,2,2,0,0.01,0.06,0.93
2018-04-14,2,2,0,0.01,0.07,0.92
2018-04-15,2,2,0,0.01,0.08,0.91
2018-04-16,2,2,0,0.01,0.09,0.91
2018-04-17,2,2,0,0.01,0.1,0.9
2018-04-18,2,2,0,0.01,0.11,0.89
2018-04-19,2,2,0,0.01,0.12,0.87
2018-04-20,2,2,0,0.01,0.13,0.86
2018-04-21,2,2,0,0.01,0.14,0.85
2018-04-22,2,2,0,0.01,0.15,0.83
2018-04-23,2,2,0,0.01,0.17,0.82
2018-04-24,2,2,0,0.02,0.18,0.8
2018-04-25,2,2,0,0.02,0.2,0.79
2018-04-26,2,2,0,0.02,0.22,0.77
2018-04-27,2,2,0,0.02,0.23,0.75
2018-04-28,2,2,0,0.02,0.25,0.73
2018-04-29,2,2,0,0.02,0.27,0.71
2018-04-30,2,2,0,0.02,0.3,0.68
2018-05-01,2,2,0,0.02,0.32,0.66
2018-05-02,2,2,0,0.02,0.34,0.64
2018-05-03,2,2,0,0.03,0.37,0.61
2018-05-04,2,2,0,0.03,0.39,0.58
2018-05-05,2,2,0,0.03,0.42,0.56
2018-05-06,2,2,0,0.03,0.45,0.53
2018-05-07,2,2,0,0.03,0.48,0.5
2018-05-08,2,2,0,0.03,0.51,0.47
2018-05-09,2,2,1,0.03,0.54,0.43
2018-05-10,2,2,1,0.03,0.57,0.4
2018-05-11,2,2,1,0.03,0.6,0.37
2018-05-12,2,2,1,0.03,0.63,0.34
2018-05-13,2,2,1,0.03,0.67,0.3
2018-05-14,2,2,1,0.03,0.7,0.27
2018-05-15,2,2,1,0.03,0.73,0.24
2018-05-16,2,2,1,0.03,0.76,0.2
2018-05-17,2,2,1,0.03,0.8,0.17
2018-05-18,2,2,1,0.03,0.82,0.15
2018-05-19,2,2,1,0.03,0.85,0.12
2018-05-20,2,2,1,0.03,0.88,0.1
2018-05-21,2,2,1,0.02,0.9,0.08
2018-05-22,2,2,1,0.02,0.92,0.06
2018-05-23,2,2,1,0.02,0.94,0.04
2018-05-24,2,2,1,0.02,0.95,0.03
2018-05-25,2,2,1,0.01,0.97,0.02
2018-05-26,2,2,1,0.01,0.98,0.02
2018-05-27,2,2,1,0.01,0.98,0.01
2018-05-28,2,2,1,0.01,0.99,0.01
2018-05-29,2,2,1,0,0.99,0
2018-05-30,2,2,1,0,1,0
2018-05-31,2,2,1,0,1,0
2018-06-01,2,2,1,0,1,0
2018-06-02,2,2,1,0,1,0
2018-06-03,2,2,1,0,1,0
2018-06-04,2,2,1,0,1,0
2018-06-05,2,2,1,0,1,0
